feroxbuster -u http://surveillance.htb -w /usr/share/wordlists/dirb/common.txt -t 200 -r

 ___  ___  __   __     __      __         __   ___
|__  |__  |__) |__) | /  `    /  \ \_/ | |  \ |__
|    |___ |  \ |  \ | \__,    \__/ / \ | |__/ |___
by Ben "epi" Risher 🤓                 ver: 2.11.0
───────────────────────────┬──────────────────────
 🎯  Target Url            │ http://surveillance.htb
 🚀  Threads               │ 200
 📖  Wordlist              │ /usr/share/wordlists/dirb/common.txt
 👌  Status Codes          │ All Status Codes!
 💥  Timeout (secs)        │ 7
 🦡  User-Agent            │ feroxbuster/2.11.0
 💉  Config File           │ /home/pks/.config/feroxbuster/ferox-config.toml
 🔎  Extract Links         │ true
 🏁  HTTP methods          │ [GET]
 📍  Follow Redirects      │ true
 🔃  Recursion Depth       │ 4
───────────────────────────┴──────────────────────
 🏁  Press [ENTER] to use the Scan Management Menu™
──────────────────────────────────────────────────
503      GET        7l       14w      206c http://surveillance.htb/basket
503      GET        7l       14w      206c http://surveillance.htb/css/404
503      GET        7l       14w      206c http://surveillance.htb/css/42
503      GET        7l       14w      206c http://surveillance.htb/css/403
503      GET        7l       14w      206c http://surveillance.htb/bass
503      GET        7l       14w      206c http://surveillance.htb/css/50
503      GET        7l       14w      206c http://surveillance.htb/bat
503      GET        7l       14w      206c http://surveillance.htb/css/500
503      GET        7l       14w      206c http://surveillance.htb/css/6
503      GET        7l       14w      206c http://surveillance.htb/css/51
503      GET        7l       14w      206c http://surveillance.htb/batch
503      GET        7l       14w      206c http://surveillance.htb/basketball
503      GET        7l       14w      206c http://surveillance.htb/css/5
503      GET        7l       14w      206c http://surveillance.htb/baskets
503      GET        7l       14w      206c http://surveillance.htb/css/8
503      GET        7l       14w      206c http://surveillance.htb/css/7z
503      GET        7l       14w      206c http://surveillance.htb/css/64
503      GET        7l       14w      206c http://surveillance.htb/css/A
503      GET        7l       14w      206c http://surveillance.htb/css/aa
503      GET        7l       14w      206c http://surveillance.htb/css/7
503      GET        7l       14w      206c http://surveillance.htb/css/aaa
503      GET        7l       14w      206c http://surveillance.htb/css/abcd1234
503      GET        7l       14w      206c http://surveillance.htb/css/a
503      GET        7l       14w      206c http://surveillance.htb/css/aboutus
503      GET        7l       14w      206c http://surveillance.htb/css/About
503      GET        7l       14w      206c http://surveillance.htb/css/abc
503      GET        7l       14w      206c http://surveillance.htb/css/abcd
503      GET        7l       14w      206c http://surveillance.htb/css/abuse
503      GET        7l       14w      206c http://surveillance.htb/css/96
503      GET        7l       14w      206c http://surveillance.htb/css/9
503      GET        7l       14w      206c http://surveillance.htb/css/about
503      GET        7l       14w      206c http://surveillance.htb/css/abc123
503      GET        7l       14w      206c http://surveillance.htb/css/about-us
503      GET        7l       14w      206c http://surveillance.htb/css/about_us
503      GET        7l       14w      206c http://surveillance.htb/baz
503      GET        7l       14w      206c http://surveillance.htb/css/accessibility
503      GET        7l       14w      206c http://surveillance.htb/css/academic
503      GET        7l       14w      206c http://surveillance.htb/css/acc
503      GET        7l       14w      206c http://surveillance.htb/css/access
503      GET        7l       14w      206c http://surveillance.htb/css/academics
503      GET        7l       14w      206c http://surveillance.htb/css/ac
503      GET        7l       14w      206c http://surveillance.htb/css/accessgranted
503      GET        7l       14w      206c http://surveillance.htb/bb
503      GET        7l       14w      206c http://surveillance.htb/css/access-log
503      GET        7l       14w      206c http://surveillance.htb/css/abstract
503      GET        7l       14w      206c http://surveillance.htb/css/access_log.1
503      GET        7l       14w      206c http://surveillance.htb/css/access.1
503      GET        7l       14w      206c http://surveillance.htb/css/access_log
503      GET        7l       14w      206c http://surveillance.htb/css/access_db
503      GET        7l       14w      206c http://surveillance.htb/css/AboutUs
503      GET        7l       14w      206c http://surveillance.htb/css/accommodation
503      GET        7l       14w      206c http://surveillance.htb/css/accessories
503      GET        7l       14w      206c http://surveillance.htb/css/access-log.1
503      GET        7l       14w      206c http://surveillance.htb/css/account
503      GET        7l       14w      206c http://surveillance.htb/bbadmin
503      GET        7l       14w      206c http://surveillance.htb/css/acatalog
503      GET        7l       14w      206c http://surveillance.htb/bb-hist
503      GET        7l       14w      206c http://surveillance.htb/bb-histlog
503      GET        7l       14w      206c http://surveillance.htb/bbs
503      GET        7l       14w      206c http://surveillance.htb/css/accountants
503      GET        7l       14w      206c http://surveillance.htb/be
503      GET        7l       14w      206c http://surveillance.htb/css/accounting
503      GET        7l       14w      206c http://surveillance.htb/css/accounts
503      GET        7l       14w      206c http://surveillance.htb/css/acp
503      GET        7l       14w      206c http://surveillance.htb/css/achitecture
503      GET        7l       14w      206c http://surveillance.htb/css/activate
503      GET        7l       14w      206c http://surveillance.htb/bea
503      GET        7l       14w      206c http://surveillance.htb/css/actions
503      GET        7l       14w      206c http://surveillance.htb/css/accountsettings
503      GET        7l       14w      206c http://surveillance.htb/css/acct_login
503      GET        7l       14w      206c http://surveillance.htb/css/activeCollab
503      GET        7l       14w      206c http://surveillance.htb/css/active
503      GET        7l       14w      206c http://surveillance.htb/css/action
503      GET        7l       14w      206c http://surveillance.htb/css/activities
503      GET        7l       14w      206c http://surveillance.htb/css/activity
503      GET        7l       14w      206c http://surveillance.htb/css/ad
503      GET        7l       14w      206c http://surveillance.htb/bean
503      GET        7l       14w      206c http://surveillance.htb/css/add_cart
503      GET        7l       14w      206c http://surveillance.htb/css/ad_js
503      GET        7l       14w      206c http://surveillance.htb/css/adaptive
503      GET        7l       14w      206c http://surveillance.htb/css/act
503      GET        7l       14w      206c http://surveillance.htb/css/adclick
503      GET        7l       14w      206c http://surveillance.htb/css/activex
503      GET        7l       14w      206c http://surveillance.htb/css/Admin
503      GET        7l       14w      206c http://surveillance.htb/css/addfav
503      GET        7l       14w      206c http://surveillance.htb/css/adlogger
503      GET        7l       14w      206c http://surveillance.htb/css/ADM
503      GET        7l       14w      206c http://surveillance.htb/css/add
503      GET        7l       14w      206c http://surveillance.htb/css/addresses
503      GET        7l       14w      206c http://surveillance.htb/css/addtocart
503      GET        7l       14w      206c http://surveillance.htb/css/addnews
503      GET        7l       14w      206c http://surveillance.htb/css/address
503      GET        7l       14w      206c http://surveillance.htb/css/addressbook
