feroxbuster -u http://metapress.htb -w /usr/share/wordlists/dirb/common.txt -t 200 -r

 ___  ___  __   __     __      __         __   ___
|__  |__  |__) |__) | /  `    /  \ \_/ | |  \ |__
|    |___ |  \ |  \ | \__,    \__/ / \ | |__/ |___
by Ben "epi" Risher 🤓                 ver: 2.11.0
───────────────────────────┬──────────────────────
 🎯  Target Url            │ http://metapress.htb
 🚀  Threads               │ 200
 📖  Wordlist              │ /usr/share/wordlists/dirb/common.txt
 👌  Status Codes          │ All Status Codes!
 💥  Timeout (secs)        │ 7
 🦡  User-Agent            │ feroxbuster/2.11.0
 💉  Config File           │ /home/pks/.config/feroxbuster/ferox-config.toml
 🔎  Extract Links         │ true
 🏁  HTTP methods          │ [GET]
 📍  Follow Redirects      │ true
 🔃  Recursion Depth       │ 4
───────────────────────────┴──────────────────────
 🏁  Press [ENTER] to use the Scan Management Menu™
──────────────────────────────────────────────────
502      GET        7l       11w      157c http://metapress.htb/wp-includes/css/dist/~sysadmin
502      GET        7l       11w      157c http://metapress.htb/wp-includes/css/dist/_inc
502      GET        7l       11w      157c http://metapress.htb/wp-includes/css/dist/_mygallery
502      GET        7l       11w      157c http://metapress.htb/wp-includes/css/dist/.web
502      GET        7l       11w      157c http://metapress.htb/wp-includes/css/dist/~adm
502      GET        7l       11w      157c http://metapress.htb/wp-includes/css/dist/_js
502      GET        7l       11w      157c http://metapress.htb/wp-includes/css/dist/.swf
502      GET        7l       11w      157c http://metapress.htb/wp-includes/css/dist/_
502      GET        7l       11w      157c http://metapress.htb/wp-includes/css/dist/~admin
502      GET        7l       11w      157c http://metapress.htb/wp-includes/css/dist/103
502      GET        7l       11w      157c http://metapress.htb/wp-includes/css/dist/_fpclass
502      GET        7l       11w      157c http://metapress.htb/wp-includes/css/dist/@
502      GET        7l       11w      157c http://metapress.htb/wp-includes/css/dist/_layouts
502      GET        7l       11w      157c http://metapress.htb/wp-includes/css/dist/_resources
502      GET        7l       11w      157c http://metapress.htb/wp-includes/css/dist/_adm
502      GET        7l       11w      157c http://metapress.htb/wp-includes/css/dist/~test
502      GET        7l       11w      157c http://metapress.htb/wp-includes/css/dist/~administrator
502      GET        7l       11w      157c http://metapress.htb/wp-includes/css/dist/_lib
502      GET        7l       11w      157c http://metapress.htb/wp-includes/css/dist/_res
502      GET        7l       11w      157c http://metapress.htb/wp-includes/js/07
502      GET        7l       11w      157c http://metapress.htb/wp-includes/js/1001
502      GET        7l       11w      157c http://metapress.htb/wp-includes/js/02
502      GET        7l       11w      157c http://metapress.htb/wp-includes/css/dist/_net
502      GET        7l       11w      157c http://metapress.htb/wp-includes/js/08
502      GET        7l       11w      157c http://metapress.htb/wp-includes/js/03
502      GET        7l       11w      157c http://metapress.htb/wp-includes/js/09
502      GET        7l       11w      157c http://metapress.htb/wp-includes/js/102
502      GET        7l       11w      157c http://metapress.htb/wp-includes/js/1
502      GET        7l       11w      157c http://metapress.htb/wp-includes/js/11
502      GET        7l       11w      157c http://metapress.htb/wp-includes/js/~webmaster
502      GET        7l       11w      157c http://metapress.htb/wp-includes/js/12
502      GET        7l       11w      157c http://metapress.htb/wp-includes/js/10
502      GET        7l       11w      157c http://metapress.htb/wp-includes/js/123
502      GET        7l       11w      157c http://metapress.htb/wp-includes/js/2012
502      GET        7l       11w      157c http://metapress.htb/wp-includes/js/1992
502      GET        7l       11w      157c http://metapress.htb/wp-includes/js/13
502      GET        7l       11w      157c http://metapress.htb/wp-includes/js/2009
502      GET        7l       11w      157c http://metapress.htb/wp-includes/js/15
502      GET        7l       11w      157c http://metapress.htb/wp-includes/js/2005
502      GET        7l       11w      157c http://metapress.htb/wp-includes/js/1990
502      GET        7l       11w      157c http://metapress.htb/category/news/admin4_account
502      GET        7l       11w      157c http://metapress.htb/wp-includes/css/dist/.config
502      GET        7l       11w      157c http://metapress.htb/wp-includes/css/dist/.hta
502      GET        7l       11w      157c http://metapress.htb/wp-includes/css/dist/_admin
502      GET        7l       11w      157c http://metapress.htb/wp-includes/css/dist/~www
502      GET        7l       11w      157c http://metapress.htb/wp-includes/css/dist/_stats
502      GET        7l       11w      157c http://metapress.htb/wp-includes/css/dist/_notes
502      GET        7l       11w      157c http://metapress.htb/wp-includes/css/dist/_common
502      GET        7l       11w      157c http://metapress.htb/wp-includes/css/dist/~tmp
502      GET        7l       11w      157c http://metapress.htb/wp-includes/css/dist/.profile
502      GET        7l       11w      157c http://metapress.htb/wp-includes/css/dist/_media
502      GET        7l       11w      157c http://metapress.htb/wp-includes/css/dist/.htpasswd
403      GET        7l        9w      153c http://metapress.htb/wp-includes/css/dist/
502      GET        7l       11w      157c http://metapress.htb/wp-includes/css/dist/_code
502      GET        7l       11w      157c http://metapress.htb/wp-includes/css/dist/_vti_aut
502      GET        7l       11w      157c http://metapress.htb/wp-includes/css/dist/.passwd
502      GET        7l       11w      157c http://metapress.htb/wp-includes/css/dist/_scriptlibrary
502      GET        7l       11w      157c http://metapress.htb/wp-includes/js/06
502      GET        7l       11w      157c http://metapress.htb/wp-includes/css/dist/.mysql_history
502      GET        7l       11w      157c http://metapress.htb/wp-includes/css/dist/~webmaster
502      GET        7l       11w      157c http://metapress.htb/wp-includes/css/dist/_www
502      GET        7l       11w      157c http://metapress.htb/wp-includes/css/dist/.cvsignore
502      GET        7l       11w      157c http://metapress.htb/wp-includes/css/dist/.svn/entries
502      GET        7l       11w      157c http://metapress.htb/wp-includes/css/dist/_flash
502      GET        7l       11w      157c http://metapress.htb/wp-includes/css/dist/_include
502      GET        7l       11w      157c http://metapress.htb/wp-includes/css/dist/_img
502      GET        7l       11w      157c http://metapress.htb/wp-includes/css/dist/_includes
502      GET        7l       11w      157c http://metapress.htb/wp-includes/css/dist/.subversion
502      GET        7l       11w      157c http://metapress.htb/wp-includes/css/dist/.forward
502      GET        7l       11w      157c http://metapress.htb/wp-includes/css/dist/~user
502      GET        7l       11w      157c http://metapress.htb/wp-includes/css/dist/.svn
502      GET        7l       11w      157c http://metapress.htb/wp-includes/css/dist/_scripts
502      GET        7l       11w      157c http://metapress.htb/wp-includes/css/dist/_overlay
502      GET        7l       11w      157c http://metapress.htb/wp-includes/css/dist/.history
502      GET        7l       11w      157c http://metapress.htb/wp-includes/css/dist/~amanda
502      GET        7l       11w      157c http://metapress.htb/wp-includes/css/dist/_images
502      GET        7l       11w      157c http://metapress.htb/wp-includes/css/dist/_config
502      GET        7l       11w      157c http://metapress.htb/wp-includes/css/dist/_ajax
502      GET        7l       11w      157c http://metapress.htb/wp-includes/css/dist/_borders
502      GET        7l       11w      157c http://metapress.htb/b1
502      GET        7l       11w      157c http://metapress.htb/wp-includes/css/dist/~guest
502      GET        7l       11w      157c http://metapress.htb/category/news/admintools
502      GET        7l       11w      157c http://metapress.htb/category/news/adminsql
502      GET        7l       11w      157c http://metapress.htb/wp-includes/css/dist/02
502      GET        7l       11w      157c http://metapress.htb/wp-includes/css/dist/_vti_bin/shtml.dll
502      GET        7l       11w      157c http://metapress.htb/wp-includes/css/dist/1991
502      GET        7l       11w      157c http://metapress.htb/wp-includes/css/dist/1990
502      GET        7l       11w      157c http://metapress.htb/wp-includes/css/dist/15
